l_name,email,f_name,age,salary,height,interest,country,is_dirty
Stamm,fernuni-hagen.de,Senro,43,66880,176,Painting,Ecuador,0
Nocker,cornell.edu,Didier,46,44417,155,Drums,Kyrgyzstan,0
Frezza,yorku.ca,Shalosh,33,47575,175,Blogging,Nicaragua,0
McConalogue,ou.edu,Hoon,38,49776,159,Hockey,St Kitts and Nevis,0
Samadzadeh,ogi.edu,Arndt,58,54867,166,Programming,Singapore,0
Meuss,fsu.edu,Tzyh,39,65802,180,Painting,United Kingdom,0
Neidhardt,indiana.edu,Harm,48,61932,177,Programming,Bahrain,0
Majewski,purdue.edu,Hyuck,49,70680,165,Drums,Russian Federation,0
Renegar,uni-muenchen.de,Xiaoqiu,35,71214,161,Photography,Turkmenistan,0
Ghemri,umkc.edu,Morteza,18,31290,162,Tennis,Vietnam,0
Boggs,toronto.edu,Felic,18,38944,166,Cinema,Mozambique,0
Masiero,co.jp,Sreekumar,27,52939,171,Tennis,Central African Rep,0
Lalonde,indiana.edu,Hyungill,35,45907,161,Piano,Sierra Leone,0
Dedood,lehner.net,Vinit,38,44814,163,Volleyball,Ethiopia,0
Abeck,neu.edu,Liping,28,35013,165,Piano,Portugal,0
Togai,lucent.com,Liang,21,42492,167,Singing,Czech Republic,0
Farrel,ucr.edu,Zhe,45,43975,164,Running,Rwanda,0
Kasriel,cornell.edu,Hiroaki,26,58922,174,Reading,Afghanistan,0
Kadoda,ou.edu,Mitchell,48,56187,177,Drums,Myanmar,0
Flouret,njit.edu,Shigeyuki,23,32636,177,Hockey,Guyana,0
Vazenin,yahoo.com,Kajal,55,52250,169,Travelling,Nigeria,0
Crestin,forth.gr,Lars,18,47410,163,Poker,Qatar,0
Arefi,versata.com,Samantha,33,51852,155,Reading,Madagascar,0
Lebrave,uu.se,Hanqing,18,44344,179,Skating,Mauritania,0
Ireland,bell-labs.com,Shun'ichi,46,52131,165,Basketball,Russian Federation,0
Reye,evergreen.edu,Husam,24,54405,165,Blogging,Nigeria,0
Schiex,ac.uk,Riichiro,44,46584,170,Soccer,Jordan,0
Parascandalo,upenn.edu,Jesus,38,52753,164,Poker,Slovenia,0
Mumper,csufresno.edu,Premsyl,49,50409,155,Swimming,South Africa,0
Abdellatif,ou.edu,Noury,18,49939,160,Writing,Nigeria,0
Tate,uic.edu,Licheng,21,49319,165,Piano,Bahamas,0
Oomachi,bell-labs.com,Reinhold,22,39277,168,Writing,Sao Tome and Principe,0
Junet,du.edu,Karla,18,47703,179,Painting,Iceland,0
Ravve,smu.edu,Vladimir,23,55257,174,Soccer,Monaco,0
Ebbinghaus,labs.com,Aude,56,61412,175,Sculpting,Burkina,0
Mitchem,propel.com,Carter,53,57679,155,Volleyball,Estonia,0
Schuschel,crossgain.com,Piergiorgio,41,53155,158,Drawing,Cambodia,0
Yarnikh,uiuc.edu,Tumasch,29,44922,176,Soccer,Bahrain,0
Cichosz,uni-muenster.de,Catharina,28,43279,165,Travelling,Germany,0
Raum,bellatlantic.net,Javad,18,61324,157,Painting,Bahrain,0
Muckstadt,berkeley.edu,Chitoor,25,48622,177,Drawing,Liberia,0
Littlehales,uic.edu,Shyamal,26,29601,166,Cinema,Cape Verde,0
Yapp,ac.kr,Malte,19,40575,155,Drums,Liberia,0
