Senro,fernuni-hagen.de,Stamm,18,49877,165,Travelling,Tonga,0
Didier,cornell.edu,Nocker,45,46805,163,Drums,Mexico,0
Shalosh,yorku.ca,Frezza,18,59381,165,Reading,Morocco,0
Hoon,ou.edu,McConalogue,46,44945,178,Painting,Tajikistan,0
Arndt,ogi.edu,Samadzadeh,18,39786,168,Blogging,Fiji,0
Tzyh,fsu.edu,Meuss,18,49154,161,Soccer,Uzbekistan,0
Harm,indiana.edu,Neidhardt,25,68457,155,Piano,Sri Lanka,0
Hyuck,purdue.edu,Majewski,18,62724,155,Sculpting,St Kitts and Nevis,0
Xiaoqiu,uni-muenchen.de,Renegar,24,27776,158,Photography,Armenia,0
Morteza,umkc.edu,Ghemri,30,51239,175,Painting,Rwanda,0
Felic,toronto.edu,Boggs,18,63185,162,Guitar,El Salvador,0
Sreekumar,co.jp,Masiero,24,38797,155,Piano,Paraguay,0
Hyungill,indiana.edu,Lalonde,26,54317,155,Basketball,Turkmenistan,0
Vinit,lehner.net,Dedood,44,64261,181,Guitar,Germany,0
Liping,neu.edu,Abeck,21,53075,190,Skating,Central African Rep,0
Liang,lucent.com,Togai,18,50865,159,Singing,Gabon,0
Zhe,ucr.edu,Farrel,22,60052,169,Drawing,Afghanistan,0
Hiroaki,cornell.edu,Kasriel,25,35573,155,Gaming,Syria,0
Mitchell,ou.edu,Kadoda,36,61533,170,Basketball,Iceland,0
Shigeyuki,njit.edu,Flouret,48,46023,167,Swimming,Czech Republic,0
Kajal,yahoo.com,Vazenin,43,38584,155,Reading,Central African Rep,0
Lars,forth.gr,Crestin,18,38569,170,Blogging,Bahrain,0
Samantha,versata.com,Arefi,21,57696,177,Piano,Mauritius,0
Hanqing,uu.se,Lebrave,47,54687,168,Cinema,Seychelles,0
Shun'ichi,bell-labs.com,Ireland,21,50209,175,Basketball,Venezuela,0
Husam,evergreen.edu,Reye,24,47640,169,Writing,Czech Republic,0
Riichiro,ac.uk,Schiex,36,30449,168,Soccer,Fiji,0
Jesus,upenn.edu,Parascandalo,23,50371,184,Basketball,Guyana,0
Premsyl,csufresno.edu,Mumper,19,63915,155,Sculpting,Liechtenstein,0
Noury,ou.edu,Abdellatif,18,54148,171,Hockey,Suriname,0
Licheng,uic.edu,Tate,30,50469,177,Piano,Dominican Republic,0
